Plan ID,Plan Scores,Run-0,Run-1,Run-2,Run-3,Run-4
0,0.0,4,0,4,5,3
1,0.0,6,6,2,4,5
2,0.0,1,1,2,2,2
3,0.0,5,3,1,3,4
4,0.0,6,2,3,3,2
5,0.0,5,6,2,5,3
6,0.0,2,4,1,0,3
7,0.0,3,2,6,3,4
8,0.0,2,4,6,1,1
9,0.0,1,3,1,4,3
10,0.0,4,3,3,5,1
11,0.0,2,4,3,3,4
12,0.0,3,2,4,0,4
13,0.0,2,4,3,5,6
14,0.0,1,4,3,5,4
15,0.0,3,2,6,2,1
